,Անուն ազգանուն կամ կազմակերպություն,Ջրօգտագործման թույլտվության տեսակ,Ջրօգտագործման թույլտվության գործողության սկիզբ,Ջրօգտագործման թույլտվության գործողության վերջ,Ջրավազան,Ջրային ռեսուրսի անվանում,Ջրային ռեսուրսի տիպ,"Ջրառի վայր (մարզ, համայնք, բնակավայր)","Ջրօգտագործման վայր (մարզ, համայնք, բնակավայր)",Ջրօգտագործման նպատակ,Ջրառի ծավալ(հազ մ3/ տարի),Ջրային ռեսուրսի անվանում,Ջրահեռացման ծավալ(հազ մ3/ տարի),Ջրահեռացման ծավալ(լ/վրկ),Թույլտվության ժամկետ (տարով),Ջրառի տարեկան ծավալ (հազ մ3/տար)
868,«Ռոք Բերի»(ՍՊԸ),Նոր,2024-10-07,2027-10-07,Հրազդան,1 գործող խ․հ․,Ստորերկրյա,Կոտայք Աբովյան գ. Կամարիս,Կոտայք Աբովյան գ. Կամարիս,ոռոգում,268.056,Տվյալ չկա,22.976,45.0,3.0,89.35
869,«ՍԱՆՆԻ ՎԻԼԼԱ»(ՍՊԸ),Նոր,2024-10-07,2027-10-07,Հրազդան,1 գործող խորքային հոր.,Ստորերկրյա,Կոտայք Ջրվեժ գ. Ձորաղբյուր,Կոտայք Ջրվեժ գ. Ձորաղբյուր,Կոմունալ-կենցաղային,142.17,ջրանթափանց հոր-կոյուղու կոլեկտոր,132.734,4.21,3.0,47.39
870,«ՍԱՆՆԻ ՎԻԼԼԱ»(ՍՊԸ),Նոր,2024-10-07,2027-10-07,Հրազդան,1 գործող խորքային հոր.,Ստորերկրյա,Կոտայք Ջրվեժ գ. Ձորաղբյուր,Տվյալ չկա,ոռոգում,6.336,Տվյալ չկա,22.976,45.0,3.0,2.11
871,«Սյունիք»(ՋՕԸ) Սիսիան համայնքի Շաղատ գյուղ,Նոր,2024-09-27,2027-09-27,Հարավային,Սպանդարյան ՀԷԿ-ի ճնշումային խողովակաշար,Ջրային Համակարգ,Սյունիք Սիսիան գ. Անգեղակոթ,Սյունիք Սիսիան գ. Շաղատ,ոռոգում,388.8,Տվյալ չկա,22.976,45.0,3.0,129.6
872,«Սյունիք»(ՋՕԸ) Սիսիան համայնքի Աշոտավան և Հացավան գյուղեր,Նոր,2024-09-27,2027-09-27,Հարավային,Գիժ գետ,Մակերևութային,Սյունիք Սիսիան գ. Բնունիս,"""Սյունիք Սիսիան գ. Աշոտավան","Սյունիք Սիսիան գ. Հացավան""",25.92,129,22.976,45.0,3.0,8.64
873,Գևորգ Դեմիրճյան(Ֆիզ․ ԱՆՁ),Նոր,2024-10-07,2027-10-07,Հրազդան,1 գործող խորքային հոր.,Ստորերկրյա,Արագածոտն Աշտարակ գ. Սաղմոսավան,Տվյալ չկա,ոռոգում,0.526,Տվյալ չկա,22.976,45.0,3.0,0.18
874,Գևորգ Դեմիրճյան(Ֆիզ․ ԱՆՁ),Նոր,2024-10-07,2027-10-07,Հրազդան,1 գործող խորքային հոր.,Ստորերկրյա,Արագածոտն Աշտարակ գ. Սաղմոսավան,Արագածոտն Աշտարակ գ. Սաղմոսավան,ոռոգում,0.7,Տվյալ չկա,22.976,45.0,3.0,0.23
875,«Սյունիք»(ՋՕԸ) Սիսիան համայնքի Սիսիան քաղաք,Նոր,2024-09-27,2027-09-27,Հարավային,Որոտան գետ Զոնալ աջ ջրհան կայան,Մակերևութային,Սյունիք Սիսիան ք. Սիսիան,Սյունիք Սիսիան ք. Սիսիան,ոռոգում,321.7,Տվյալ չկա,22.976,45.0,3.0,107.23
876,«Սյունիք»(ՋՕԸ) Սիսիան համայնքի Սիսիան քաղաք,Նոր,2024-09-27,2027-09-27,Հարավային,Որոտան գետ Զոնալ ձախ ջրհան կայան,Մակերևութային,Սյունիք Սիսիան ք. Սիսիան,Տվյալ չկա,ոռոգում,858.0,Տվյալ չկա,22.976,45.0,3.0,286.0
877,«ԳԵՎՄԻԿ»1(ՍՊԸ),Նոր,2024-10-07,2027-10-07,Սևան,2 գործող խորքային հոր.,Ստորերկրյա,Գեղարքունիք Սևան գ. Գեղամավան; Գեղարքունիք Սևան գ. Գեղամավան,Գեղարքունիք Սևան գ. Գեղամավան,ոռոգում,34.65,Տվյալ չկա,22.976,45.0,3.0,11.55
878,«Դոլոմիտի»(ՍՊԸ),Նոր,2024-10-07,2027-10-07,Հրազդան,1 գործող խ․հ․,Ստորերկրյա,Արագածոտն Աշտարակ գ. Ագարակ (Աշտարակի շրջ.);,Արագածոտն Աշտարակ գ. Ագարակ (Աշտարակի շրջ.);,ոռոգում,131.328,Տվյալ չկա,22.976,45.0,3.0,43.78
879,«Սյունիք»(ՋՕԸ) Սիսիան համայնքի Ույծ գյուղ և Սիսիան քաղաք,Նոր,2024-09-27,2027-09-27,Հարավային,Այրի գետ,Մակերևութային,Սյունիք Սիսիան գ. Տոլորս,Տվյալ չկա,ոռոգում,250.3,Տվյալ չկա,22.976,45.0,3.0,83.43
880,«Սյունիք»(ՋՕԸ) Սիսիան համայնքի Ույծ գյուղ և Սիսիան քաղաք,Նոր,2024-09-27,2027-09-27,Հարավային,Տոլորսի ջրամբարից Տնկարանի ջրանցքով,Ջրային Համակարգ,Սյունիք Սիսիան գ. Տոլորս,Սյունիք Սիսիան գ. Տոլորս,ոռոգում,665.0,Տվյալ չկա,22.976,45.0,3.0,221.67
881,Գրիշ Իսրաիլյան(Ֆիզ․ ԱՆՁ),Նոր,2024-10-07,2027-10-07,Հրազդան,Հրազդան գետ,Մակերևութային,Արարատ Մասիս գ. Սիս,Արարատ Մասիս գ. Սիս,Ձկնաբուծական,315.56,Հրազդան գետ,284.004,9.0,3.0,105.19
882,«Սյունիք»(ՋՕԸ) Սիսիան համայնքի Աշոտավան գյուղ,Նոր,2024-09-27,2027-09-27,Հարավային,Գիժ գետ Աշոտավան ջրհան կայան,Մակերևութային,Սյունիք Սիսիան գ. Աշոտավան,Սյունիք Սիսիան գ. Աշոտավան,ոռոգում,214.5,Տվյալ չկա,22.976,45.0,3.0,71.5
883,«Սյունիք»(ՋՕԸ) Սիսիան համայնքի Բռնակոթ գյուղ,Նոր,2024-09-27,2027-09-27,Հարավային,ինքնահոս,Ջրային Համակարգ,Սյունիք Սիսիան գ. Բռնակոթ,Տվյալ չկա,ոռոգում,1275.0,Տվյալ չկա,22.976,45.0,3.0,425.0
884,«Սյունիք»(ՋՕԸ) Սիսիան համայնքի Բռնակոթ գյուղ,Նոր,2024-09-27,2027-09-27,Հարավային,Բռնակոթի ջրամբար,Ջրային Համակարգ,Սյունիք Սիսիան գ. Բռնակոթ,"""Սյունիք Սիսիան գ. Մուցք","Սյունիք Սիսիան գ. Բռնակոթ""",25.92,233,22.976,45.0,3.0,8.64
885,«Սյունիք»(ՋՕԸ) Սիսիան համայնքի Բռնակոթ գյուղ,Նոր,2024-09-27,2027-09-27,Հարավային,ջրհան կայան,Ջրային Համակարգ,Սյունիք Սիսիան գ. Բռնակոթ,Տվյալ չկա,ոռոգում,2310.0,Տվյալ չկա,22.976,45.0,3.0,770.0
886,Անի Նորիկի Ավետիսյան(Ֆիզ․ ԱՆՁ),Նոր,2024-10-07,2027-10-07,Հրազդան,դրենաժային համակարգ,Ջրային Համակարգ,Արարատ Մասիս գ. Սիս,Արարատ Մասիս գ. Սիս,Ձկնաբուծական,627.812,դրենաժային համակարգ՝ Հրազդան գետ,565.036,17.9,3.0,209.27
887,«Սյունիք»(ՋՕԸ) Մեղրի համայնքի Նռնաձոր գյուղ,Նոր,2024-09-27,2027-09-27,Հարավային,Արաքս գետ՝ Բուղդադուզ ջրհան կայան,Մակերևութային,Սյունիք Մեղրի գ. Նռնաձոր,Տվյալ չկա,ոռոգում,468.48,Տվյալ չկա,22.976,45.0,3.0,156.16
888,«Սյունիք»(ՋՕԸ) Մեղրի համայնքի Նռնաձոր գյուղ,Նոր,2024-09-27,2027-09-27,Հարավային,Արաքս գետ՝ Նռնաձորի 1 ջրհան կայան,Մակերևութային,Սյունիք Մեղրի գ. Նռնաձոր,Սյունիք Մեղրի գ. Նռնաձոր,ոռոգում,499.2,Տվյալ չկա,22.976,45.0,3.0,166.4
889,Արթուր Շաբոյան(Ֆիզ․ ԱՆՁ),Նոր,2024-10-07,2027-10-07,Հրազդան,2 գործող խ․հ․,Ստորերկրյա,Արարատ Արտաշատ գ. Հովտաշեն; Արարատ Արտաշատ գ. Հովտաշեն,Արարատ Արտաշատ գ. Հովտաշեն,ոռոգում,20.034,Տվյալ չկա,22.976,45.0,3.0,6.68
890,«Սյունիք»(ՋՕԸ) Մեղրի համայնքի Մեղրի քաղաք,Նոր,2024-09-27,2027-09-27,Հարավային,Մեղրի 1 ջրհան կայան,Մակերևութային,Սյունիք Մեղրի ք. Մեղրի; Սյունիք Մեղրի ք. Մեղրի,Սյունիք Մեղրի ք. Մեղրի,ոռոգում,134.4,Տվյալ չկա,22.976,45.0,3.0,44.8
891,«Սյունիք»(ՋՕԸ) Մեղրի համայնքի Մեղրի քաղաք,Նոր,2024-09-27,2027-09-27,Հարավային,Մեղրի 2 ջրհան կայան,Մակերևութային,Սյունիք Մեղրի ք. Մեղրի,Տվյալ չկա,ոռոգում,15.36,Տվյալ չկա,22.976,45.0,3.0,5.12
892,Մովսես Գևորգյան(Ֆիզ․ ԱՆՁ),Երկարաձգված,2024-10-07,2027-10-07,Հրազդան,1 գործող խորքային հոր,Ստորերկրյա,Կոտայք Արզնի գ. Արզնի,Կոտայք Արզնի գ. Արզնի,ոռոգում,3.0,Տվյալ չկա,22.976,45.0,3.0,1.0
893,«Սյունիք»(ՋՕԸ) Մեղրի համայնքի Շվանիձոր գյուղ,Նոր,2024-09-27,2027-09-27,Հարավային,Արաքս գետ Շվանիձոր 1 ջրհան կայան,Ջրային Համակարգ,Սյունիք Մեղրի գ. Շվանիձոր; Սյունիք Մեղրի գ. Շվանիձոր,Սյունիք Մեղրի գ. Շվանիձոր,ոռոգում,460.8,Տվյալ չկա,22.976,45.0,3.0,153.6
894,Վիրապ Մելքոնյան(Ֆիզ․ ԱՆՁ),Նոր,2024-10-07,2027-10-07,Հրազդան,դրենաժային համակարգ,Ջրային Համակարգ,Արարատ Մասիս գ. Սայաթ-Նովա,Արարատ Մասիս գ. Սայաթ-Նովա,Ձկնաբուծական,1577.2,դրենաժային համակարգ՝ Հրազդան գետ,1419.49,45.0,3.0,525.73
895,Վալերի Մեջլումյան(Ֆիզ․ ԱՆՁ),Նոր,2024-10-07,2027-10-07,Հրազդան,1 գործող խորքային հոր.,Ստորերկրյա,Կոտայք Ջրվեժ գ. Ձորաղբյուր,Կոտայք Ջրվեժ գ. Ձորաղբյուր,ոռոգում,9.023,Տվյալ չկա,22.976,45.0,3.0,3.01
896,Գոռ Միսակյան(ԱՁ),Վերանայված,2024-10-07,2027-04-30,Ախուրյան,Սևջուր գետ,Մակերևութային,Արարատ Մասիս գ. Ռանչպար,Արարատ Մասիս գ. Ռանչպար,Ձկնաբուծական,7884.0,Սևջուր գետ,7843.38,249.7,2.56,3079.69
897,«Ավազպլյուս»(ՍՊԸ),Նոր,2024-10-07,2027-10-07,Ախուրյան,2 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Եղեգնուտ; Արմավիր Մեծամոր գ. Եղեգնուտ,Արմավիր Մեծամոր գ. Եղեգնուտ,Արդյունաբերական,44.93,դրենաժային համակարգ՝ Սևջուր գետ,39.236,4.54,3.0,14.98
898,«Սպիտակ-1»(ԲԲԸ),Նոր,2024-10-07,2027-10-07,Հյուսիսային,Փամբակ գետ,Մակերևութային,Լոռի Սպիտակ ք. Սպիտակ,Լոռի Սպիտակ ք. Սպիտակ,Արդյունաբերական,97.54,Փամբակ գետ,62.12,7.19,3.0,32.51
899,«Իկս Ֆարմինգ»(ՍՊԸ),Վերաձևակերպված,2024-10-07,2026-10-13,Ախուրյան,2 գործող գրունտային հոր,Ստորերկրյա,Արմավիր Մեծամոր գ. Արգավանդ; Արմավիր Մեծամոր գ. Արգավանդ,Արմավիր Մեծամոր գ. Արգավանդ,Արդյունաբերական,249.233,հարակից լճակ՝ Արաքսի հնահունով Սևջուր գետ,217.2,6.89,2.02,123.38
900,«Տավուշ»(ՋՕԸ) Տավուշի մարզի Բերդ համայնքի Տավուշ գյուղ,Նոր,2024-10-08,2027-10-08,Հյուսիսային,Անանուն վտակ Տավուշ գետի՝ Արդամի ջրատարով,Մակերևութային,Տավուշ Բերդ գ. Տավուշ,Տավուշ Բերդ գ. Տավուշ,ոռոգում,76.4,Տվյալ չկա,22.976,45.0,3.0,25.47
901,«Տավուշ»(ՋՕԸ) Տավուշի մարզի Բերդ համայնքի Բերդ քաղաք,Նոր,2024-10-08,2027-10-08,Հյուսիսային,Տավուշ գետ՝ Բերդի ջրատարով,Մակերևութային,Տավուշ Բերդ ք. Բերդ,Տավուշ Բերդ ք. Բերդ,ոռոգում,176.08,Տվյալ չկա,22.976,45.0,3.0,58.69
902,Գեղարքունիքի մարզ Ճամբարակ համայնք(ՏԻՄ) Ճամբարակ քաղաք,Նոր,2024-10-07,2027-10-07,Սևան,Անանուն վտակ՝ Գետիկ գետի,Մակերևութային,Գեղարքունիք Ճամբարակ ք. Ճամբարակ,Գեղարքունիք Ճամբարակ ք. Ճամբարակ,Խմելու-կենցաղային,214.62,Տվյալ չկա,22.976,45.0,3.0,71.54
903,«Աշոցքի պանրի գործարան»(ՍՊԸ),Վերանայված,2024-10-14,2026-10-11,Ախուրյան,«Դաղձուտներ» կոչվող աղբյուր,Ստորերկրյա,Շիրակ Աշոցք գ. Հարթաշեն,Շիրակ Աշոցք գ. Հարթաշեն,Խմելու-կենցաղային / Արդյունաբերական,9.3522,ջրանթափանց հոր՝ կոյուղու կոլեկտոր,8.368,1.38,1.99,4.7
904,Արագածոտնի մարզ Թալին համայնք(ՏԻՄ) Կաքավաձոր և Պարտիզակ բնակավայրեր,Նոր,2024-10-08,2027-10-08,Ախուրյան,Ձիաների Չաիր աղբյուր,Ստորերկրյա,Արագածոտն Թալին գ. Մեծաձոր,Տվյալ չկա,Խմելու-կենցաղային,37.152,Տվյալ չկա,22.976,45.0,3.0,12.38
905,Արագածոտնի մարզ Թալին համայնք(ՏԻՄ) Կաքավաձոր և Պարտիզակ բնակավայրեր,Նոր,2024-10-08,2027-10-08,Ախուրյան,Տաշքորպա աղբյուր,Ստորերկրյա,Արագածոտն Թալին գ. Մեծաձոր,"""Արագածոտն Թալին գ. Պարտիզակ","Արագածոտն Թալին գ. Կաքավաձոր""",25.92,2.98,22.976,45.0,3.0,8.64
906,Արագածոտնի մարզ Թալին համայնք(ՏԻՄ) Աշնակ բնակավայր,Նոր,2024-10-08,2027-10-08,Ախուրյան,Չատալ աղբյուր,Ստորերկրյա,Արագածոտն Թալին գ. Իրինդ; Արագածոտն Թալին գ. Իրինդ,Արագածոտն Թալին գ. Աշնակ,Խմելու-կենցաղային,105.98,Տվյալ չկա,22.976,45.0,3.0,35.33
907,Արագածոտնի մարզ Թալին համայնք(ՏԻՄ) Ակունք բնակավայր,Նոր,2024-10-08,2027-10-08,Ախուրյան,Ակունք աղբյուր,Ստորերկրյա,Արագածոտն Թալին գ. Ակունք,Արագածոտն Թալին գ. Ակունք,Խմելու-կենցաղային,62.149,Տվյալ չկա,22.976,45.0,3.0,20.72
908,Արագածոտնի մարզ Թալին համայնք(ՏԻՄ) Զովասար և Ծաղկասար բնակավայրեր,Նոր,2024-10-08,2027-10-08,Ախուրյան,Զորբի աղբյուր,Ստորերկրյա,Արագածոտն Թալին գ. Սառնաղբյուր,Տվյալ չկա,Խմելու-կենցաղային,8.3932,Տվյալ չկա,22.976,45.0,3.0,2.8
909,Արագածոտնի մարզ Թալին համայնք(ՏԻՄ) Զովասար և Ծաղկասար բնակավայրեր,Նոր,2024-10-08,2027-10-08,Ախուրյան,Զորբի աղբյուր,Ստորերկրյա,Արագածոտն Թալին գ. Սառնաղբյուր,"""Արագածոտն Թալին գ. Ծաղկասար","Արագածոտն Թալին գ. Զովասար""",25.92,1.44,22.976,45.0,3.0,8.64
910,Արագածոտնի մարզ Թալին համայնք(ՏԻՄ) Կաթնաղբյուրի բնակավայր,Նոր,2024-10-08,2027-10-08,Ախուրյան,Միրոյի Չաիր,Ստորերկրյա,Արագածոտն Թալին գ. Կաթնաղբյուր; Արագածոտն Թալին գ. Կաթնաղբյուր,Արագածոտն Թալին գ. Կաթնաղբյուր,Խմելու-կենցաղային,109.95,Տվյալ չկա,22.976,45.0,3.0,36.65
911,Արագածոտնի մարզ Թալին համայնք(ՏԻՄ) Գառնահովիտ բնակավայր,Նոր,2024-10-08,2027-10-08,Ախուրյան,Աշոտի աղբյուր,Ստորերկրյա,Արագածոտն Թալին գ. Գառնահովիտ; Արագածոտն Թալին գ. Գառնահովիտ,Արագածոտն Թալին գ. Գառնահովիտ,Խմելու-կենցաղային,34.85,Տվյալ չկա,22.976,45.0,3.0,11.62
912,Արագածոտնի մարզ Թալին համայնք(ՏԻՄ) Շղարշիկ բնակավայր,Նոր,2024-10-08,2027-10-08,Ախուրյան,Ուլիբուլախ աղբյուր,Ստորերկրյա,Արագածոտն Թալին գ. Շղարշիկ,Արագածոտն Թալին գ. Շղարշիկ,Խմելու-կենցաղային,54.636,Տվյալ չկա,22.976,45.0,3.0,18.21
913,Արագածոտնի մարզ Թալին համայնք(ՏԻՄ) Եղնիկ բնակավայր,Նոր,2024-10-08,2027-10-08,Ախուրյան,Կենտաղբյուր աղբյուր,Ստորերկրյա,Արագածոտն Թալին գ. Կարմրաշեն,Արագածոտն Թալին գ. Եղնիկ,Խմելու-կենցաղային,37.181,Տվյալ չկա,22.976,45.0,3.0,12.39
914,Արագածոտնի մարզ Թալին համայնք(ՏԻՄ) Ագարակավան բնակավայր,Նոր,2024-10-08,2027-10-08,Ախուրյան,Յոթ աղբյուր աղբյուր,Ստորերկրյա,Արագածոտն Թալին գ. Օթևան; Արագածոտն Թալին գ. Օթևան,Արագածոտն Թալին գ. Ագարակավան,Խմելու-կենցաղային,92.171,Տվյալ չկա,22.976,45.0,3.0,30.72
915,Արագածոտնի մարզ Թալին համայնք(ՏԻՄ) Դավթաշեն բնակավայր,Նոր,2024-10-08,2027-10-08,Ախուրյան,Ձորի աղբյուր,Ստորերկրյա,Արագածոտն Թալին գ. Իրինդ; Արագածոտն Թալին գ. Իրինդ,Արագածոտն Թալին գ. Դավթաշեն,Խմելու-կենցաղային,67.307,Տվյալ չկա,22.976,45.0,3.0,22.44
916,Արագածոտնի մարզ Թալին համայնք(ՏԻՄ) Մաստարա բնակավայր,Նոր,2024-10-08,2027-10-08,Ախուրյան,Շենիկ աղբյուր,Ստորերկրյա,Արագածոտն Թալին գ. Մաստարա; Արագածոտն Թալին գ. Զովասար,Արագածոտն Թալին գ. Մաստարա,Խմելու-կենցաղային,31.39,Տվյալ չկա,22.976,45.0,3.0,10.46
917,"""Արագածոտնի մարզ Թալին համայնք(ՏԻՄ) Վերին Բազմաբերդ",470,,2024-10-08,08/10/2027,Ախուրյան,Սառնաղբյուր աղբյուր,Ստորերկրյա,Արագածոտն Թալին գ. Վերին Բազմաբերդ,Տվյալ չկա,25.92,3.99,22.976,45.0,0.0,0.0
918,Արագածոտնի մարզ Թալին համայնք(ՏԻՄ) Վերին Սասնաշեն և Ներքի Սասնաշեն բնակավայրեր,Նոր,2024-10-08,2027-10-08,Ախուրյան,Խզլական աղբյուր,Ստորերկրյա,Արագածոտն Թալին գ. Վերին Սասնաշեն,"""Արագածոտն Թալին գ. Ներքին Սասնաշեն","Արագածոտն Թալին գ. Վերին Սասնաշեն""",25.92,1.1,22.976,45.0,3.0,8.64
919,Արագածոտնի մարզ Թալին համայնք(ՏԻՄ) Վերին Սասնաշեն և Ներքի Սասնաշեն բնակավայրեր,Նոր,2024-10-08,2027-10-08,Ախուրյան,Խզլական աղբյուր,Ստորերկրյա,Արագածոտն Թալին գ. Վերին Սասնաշեն,Տվյալ չկա,Խմելու-կենցաղային,100.2,Տվյալ չկա,22.976,45.0,3.0,33.4
920,Արագածոտնի մարզ Թալին համայնք(ՏԻՄ) Դիան բնակավայր,Նոր,2024-10-08,2027-10-08,Ախուրյան,Կազոնի չայիր աղբյուր,Ստորերկրյա,Արագածոտն Թալին գ. Օթևան; Արագածոտն Թալին գ. Օթևան,Արագածոտն Թալին գ. Դիան,Խմելու-կենցաղային,17.645,Տվյալ չկա,22.976,45.0,3.0,5.88
921,«ԷՅԵՄ Ֆակտորի»(ՓԲԸ),Վերանայված,2024-10-17,2026-05-31,Հրազդան,1 գործող խ․հ․,Ստորերկրյա,Կոտայք Աբովյան ք. Աբովյան,Կոտայք Աբովյան ք. Աբովյան,Արդյունաբերական,42.662,կոյուղու կոլեկտոր,164.53,5.22,1.62,26.33
922,«ԷՅԵՄ Ֆակտորի»(ՓԲԸ),Վերանայված,2024-10-17,2026-05-31,Հրազդան,1 գործող խ․հ․,Ստորերկրյա,Կոտայք Աբովյան ք. Աբովյան,Տվյալ չկա,ոռոգում,3.52,Տվյալ չկա,22.976,45.0,1.62,2.17
923,«Արմավիր Ֆրութ»(ՍՊԸ),Նոր,2024-10-28,2027-10-28,Ախուրյան,1 գործող խորքային հոր.,Ստորերկրյա,Արմավիր Արմավիր ք. Արմավիր,Արմավիր Արմավիր ք. Արմավիր,Արդյունաբերական,22.066,Ջրանթափանց հոր այնուհետև կոյուղու կոլեկտոր,39.217,3.73,3.0,7.36
924,«Նորդ-Բետոն»(ՍՊԸ),Նոր,2024-10-28,2027-10-28,Հրազդան,1 գործող խ․հ․,Ստորերկրյա,Արմավիր Վաղարշապատ ք. Էջմիածին,Արմավիր Վաղարշապատ ք. Էջմիածին,Արդյունաբերական,37.454,ջրանթափանց հոր-կոյուղու կոլեկտոր,30.888,0.36,3.0,12.48
925,Սենեքերիմ Միրզոյան(Ֆիզ․ ԱՆՁ),Նոր,2024-10-28,2027-10-28,Հրազդան,1 գործող խ․հ․,Ստորերկրյա,Կոտայք Աբովյան գ. Արամուս,Կոտայք Աբովյան գ. Արամուս,ոռոգում,6.5065,Տվյալ չկա,22.976,45.0,3.0,2.17
926,«Ք-ԱՐ»(ՍՊԸ),Նոր,2024-10-28,2027-10-28,Հրազդան,2 գործող խ․հ․,Ստորերկրյա,Արմավիր Խոյ գ. Արագած,Արմավիր Խոյ գ. Արագած,ոռոգում,11.781,Տվյալ չկա,22.976,45.0,3.0,3.93
927,«Ք-ԱՐ»(ՍՊԸ),Նոր,2024-10-28,2027-10-28,Հրազդան,2 գործող խ․հ․,Ստորերկրյա,Արմավիր Խոյ գ. Արագած,Տվյալ չկա,ոռոգում,41.4392,Տվյալ չկա,22.976,45.0,3.0,13.81
928,«Ար Վայնզ»(ՍՊԸ),Նոր,2024-10-28,2027-10-28,Հրազդան,1 գործող խ․հ․,Ստորերկրյա,Արմավիր Խոյ գ. Արագած,Արմավիր Խոյ գ. Արագած,Արդյունաբերական,216.178,ջրանթափանց հոր-կոյուղու կոլեկտոր,334.607,18.1,3.0,72.06
929,«Երևանի գարեջուր»(ՓԲԸ),Նոր,2024-10-28,2027-10-28,Հրազդան,2 գործող խորքային հոր.,Ստորերկրյա,Երևան Կենտրոն ; Երևան Կենտրոն,Երևան Կենտրոն,Արդյունաբերական,67.959,կոյուղու կոլեկտոր,362.969,12.35,3.0,22.65
930,«Նոյլենդ ԱՄ»(ՍՊԸ),Նոր,2024-10-28,2027-10-28,Հարավային,Այրի գետ,Մակերևութային,Սյունիք Սիսիան գ. Ախլաթյան,Սյունիք Սիսիան գ. Ախլաթյան,ոռոգում,43.89,Տվյալ չկա,22.976,45.0,3.0,14.63
931,«Ջրառ»(ՓԲԸ) Ախուրյանի ջրամբար,Երկարաձգված և Վերանայված,2024-10-08,2027-10-08,Ախուրյան,ԱՐՄԱՎԻՐԻ ՄԱՅՐ ՋՐԱՆՑՔԻՆ ջրալրում,Մակերևութային,Շիրակ Անի գ. Ջրափի,Տվյալ չկա,ոռոգում,40000.0,Տվյալ չկա,22.976,45.0,3.0,13333.33
932,«Ջրառ»(ՓԲԸ) Ախուրյանի ջրամբար,Երկարաձգված և Վերանայված,2024-10-08,2027-10-08,Ախուրյան,Բագարան-Երվանդաշատ ջրանցք,Մակերևութային,Շիրակ Անի գ. Ջրափի,Տվյալ չկա,ոռոգում,8240.0,Տվյալ չկա,22.976,45.0,3.0,2746.67
933,«Ջրառ»(ՓԲԸ) Բագարան-Երվանդաշատ ջրանցք,Երկարաձգված և Վերանայված,2024-10-08,2027-10-08,Ախուրյան,Ախուրյան գետ՝ Ախուրյանի ջրամբարից Բագարան- Երվանդաշատ ջրանցքով,Մակերևութային,Արմավիր Բաղրամյան գ. Բագարան,Տվյալ չկա,ոռոգում,3300.0,Տվյալ չկա,22.976,45.0,3.0,1100.0
934,«Ջրառ»(ՓԲԸ) Բագարան-Երվանդաշատ ջրանցք,Երկարաձգված և Վերանայված,2024-10-08,2027-10-08,Ախուրյան,Ախուրյան գետ՝ Ախուրյանի ջրամբարից Բագարան- Երվանդաշատ ջրանցքով,Մակերևութային,Արմավիր Բաղրամյան գ. Երվանդաշատ; Արմավիր Բաղրամյան,"""Արմավիր Բաղրամյան գ. Երվանդաշատ","Արմավիր Բաղրամյան գ. Բագարան""",25.92,272,22.976,45.0,3.0,8.64
935,«Ջրառ»(ՓԲԸ) Արփի լիճ ջրամբար,Երկարաձգված և Վերանայված,2024-10-08,2027-10-08,Ախուրյան,Արփի լիճ ջրամբար՝ Ախուրյանի ջրամբարի ջրալրում,Ջրային Համակարգ,Շիրակ Ամասիա գ. Պաղակն; Շիրակ Ամասիա գ. Պաղակն,Շիրակ Ամասիա գ. Պաղակն,Այլ ջրալրում Ախուրյան գետին՝ Ախուրյանի ջրամբարի և Շիրակի ջրանցքով կառնուտի ջրամբարի ջրալրման համար,65000.0,Տվյալ չկա,22.976,45.0,3.0,21666.67
936,«Ջրառ»(ՓԲԸ) Արփի լիճ ջրամբար,Երկարաձգված և Վերանայված,2024-10-08,2027-10-08,Ախուրյան,Արփի լիճ ջրամբար՝ Շիրակի ջրանցքով Կառնուտի ջրամբարի ջրալրում,Ջրային Համակարգ,Շիրակ Ամասիա գ. Պաղակն,Տվյալ չկա,Այլ ջրալրում Ախուրյան գետին՝ Ախուրյանի ջրամբարի և Շիրակի ջրանցքով կառնուտի ջրամբարի ջրալրման համար,83000.0,Տվյալ չկա,22.976,45.0,3.0,27666.67
937,«Ջրառ»(ՓԲԸ) Թալինի ջրանցք,Երկարաձգված և Վերանայված,2024-10-08,2027-10-08,Ախուրյան,Ախուրյան գետ՝ Ախուրյանի ջրամբարից Թալինի ջրանցքով,Մակերևութային,Արագածոտն Թալին գ. Գետափ,Տվյալ չկա,ոռոգում,116800.0,Տվյալ չկա,22.976,45.0,3.0,38933.33
938,«Ջրառ»(ՓԲԸ) Թալինի ջրանցք,Երկարաձգված և Վերանայված,2024-10-08,2027-10-08,Ախուրյան,Ախուրյան գետ՝ Ախուրյանի ջրամբարից Թալինի ջրանցքով,Մակերևութային,Արագածոտն Թալին գ. Գետափ,Տվյալ չկա,ոռոգում,40000.0,Տվյալ չկա,22.976,45.0,3.0,13333.33
939,«Շիրակ»(ՋՕԸ) Շիրակի ջրանցք,Նոր,2024-11-19,2027-11-19,Ախուրյան,Ախուրյան գետ՝ Շիրակի ջրանցքով,Մակերևութային,Շիրակ Ախուրյան գ. Կապս,Տվյալ չկա,ոռոգում,16711.563,Տվյալ չկա,22.976,45.0,3.0,5570.52
