,Անուն ազգանուն կամ կազմակերպություն,Ջրօգտագործման թույլտվության տեսակ,Ջրօգտագործման թույլտվության գործողության սկիզբ,Ջրօգտագործման թույլտվության գործողության վերջ,Ջրավազան,Ջրային ռեսուրսի անվանում,Ջրային ռեսուրսի տիպ,"Ջրառի վայր (մարզ, համայնք, բնակավայր)","Ջրօգտագործման վայր (մարզ, համայնք, բնակավայր)",Ջրօգտագործման նպատակ,Ջրառի ծավալ(հազ մ3/ տարի),Ջրային ռեսուրսի անվանում,Ջրահեռացման ծավալ(հազ մ3/ տարի),Ջրահեռացման ծավալ(լ/վրկ),Թույլտվության ժամկետ (տարով),Ջրառի տարեկան ծավալ (հազ մ3/տար)
31,«Ռաստր գործարան»(ԲԲԸ),Երկարաձգված,2021-06-01,2026-06-01,Հրազդան,1 գործող խորքային հոր.,Ստորերկրյա,Արմավիր ք. Էջմիածին,Արմավիր ք. Էջմիածին,Արդյունաբերական,8.0,քաղաքային կոյուղու կոլեկտր,4.34,0.6,5.0,1.6
32,Շիրակի մարզ Ախուրյան համայնքի Հովիտ բնակավայր(ՏԻՄ),Վերանայված / Վերաձևակերպված,2021-06-23,2026-06-23,Ախուրյան,«Սանդոյի» կոչվող բնական աղբյուրներ,Ստորերկրյա,Շիրակ Ախուրյան գ. Հովիտ,Շիրակ Ախուրյան գ. Հովիտ,Խմելու-կենցաղային,45.55,Տվյալ չկա,22.976,45.0,5.0,9.11
33,Արարատի մարզ Վեդիի քաղաքապետարան(ՏԻՄ),Նոր,2021-06-29,2026-06-29,Արարատյան,2 գործող խորքային հոր.,Ստորերկրյա,Արարատ ք. Վեդի; Արարատ ք. Վեդի,Արարատ ք. Վեդի,ոռոգում,580.42,Տվյալ չկա,22.976,45.0,5.0,116.08
34,«Թուֆենկյան Հոսփիթալիթի»(ՍՊԸ) Ծափաթաղի հյուրանոցային համալիր,Երկարաձգված,2021-08-18,2026-08-18,Սևան,2 գործող խորքային հոր.,Ստորերկրյա,Գեղարքունիք գ. Ծափաթաղ; Գեղարքունիք գ. Ծափաթաղ,Գեղարքունիք գ. Ծափաթաղ,Խմելու-կենցաղային,42.373,Սևանա լիճ,32.873,1.04,5.0,8.47
35,Շիրակի մարզ Անի համայնքի Շիրակավան բնակավայր(ՏԻՄ),Նոր,2021-08-20,2026-08-20,Ախուրյան,ՀՏԿ /պատվար/ միջոցով ձնհալի և չկառավարվող ջրային հոսքերից,Մակերևութային,Շիրակ Անի գ. Շիրակավան,Շիրակ Անի գ. Շիրակավան,ոռոգում,202.994,Տվյալ չկա,22.976,45.0,5.0,40.6
36,«Թուֆենկյան Հոսփիթալիթի»(ՍՊԸ) Ձորագետ Ավանի հյուրանոցային համալիր,Վերանայված / Վերաձևակերպված,2021-08-18,2026-08-18,Տվյալ չկա,Տվյալ չկա,Տվյալ չկա,Տվյալ չկա,Տվյալ չկա,Տվյալ չկա,25.92,Դեբեդ գետ,43.908,1.39,5.0,5.18
37,«Լևադան»(ՍՊԸ),Երկարաձգված,2021-08-30,2026-08-30,Ախուրյան,1 գործող խորքային հոր.,Ստորերկրյա,Արագածոտն գ. Արագածավան,Արագածոտն գ. Արագածավան,Արդյունաբերական,56.194,Սելավ-Մաստարա գետ,23.845,3.3,5.0,11.24
38,«Արեգակ» կոնյակի գործարան(ՍՊԸ),Երկարաձգված,2021-09-13,2026-09-13,Արարատյան,1 գործող խորքային հոր,Ստորերկրյա,Արարատ գ. Դալար,Արարատ գ. Դալար,Արդյունաբերական,1.867,քաղաքային կոյուղու կոլեկտոր,3.296,0.5,5.0,0.37
39,Վայոց ձորի մարզ Եղեգիս համայնք(ՏԻՄ) Աղնջաձոր բնակավայր,Վերանայված / Վերաձևակերպված,2021-09-14,2026-09-14,Արարատյան,«Վարդան» կոչվող բնական աղբյուր,Ստորերկրյա,Վայոց ձոր Եղեգիս գ. Աղնջաձոր,Վայոց ձոր Եղեգիս գ. Աղնջաձոր,ջրարբիացում,6795.0,Տվյալ չկա,22.976,45.0,5.0,1359.0
40,«Գետնատուն»(ՍՊԸ),Երկարաձգված,2021-09-30,2026-09-30,Արարատյան,1 գործող խորքային հոր,Ստորերկրյա,Վայոց ձոր գ. Վերնաշեն,Վայոց ձոր գ. Վերնաշեն,ոռոգում,10.8,Տվյալ չկա,22.976,45.0,5.0,2.16
41,«Արարատ-Ճանշին»(ՍՊԸ),Երկարաձգված,2021-09-30,2026-09-30,Տվյալ չկա,Տվյալ չկա,Տվյալ չկա,Տվյալ չկա,Տվյալ չկա,Տվյալ չկա,25.92,"""Կեղտաջրերն ուղղվում են բետոնե լցարան",22.976,0.525,5.0,5.18
42,«Արարատ-Ճանշին»(ՍՊԸ),Երկարաձգված,2021-09-30,2026-09-30,Արարատյան,1 գործող խորքային հոր,Ստորերկրյա,Արարատ Վեդի ք. Վեդի,Արարատ Վեդի ք. Վեդի,Արդյունաբերական,225.54,Վեդի գետ,175.7,23.3,5.0,45.11
43,Սեմյոնովկայի համայնքապետարան(ՏԻՄ),Երկարաձգված,2021-10-12,2026-10-12,Սևան,«Խոլոդնի ռոդնիկ» կոչվող բնական աղբյուր,Ստորերկրյա,Գեղարքունիք գ. Սեմյոնովկա,Գեղարքունիք գ. Սեմյոնովկա,ջրարբիացում,13.32,Տվյալ չկա,22.976,45.0,5.0,2.66
44,Գեղարքունիքի մարզ Լանջաղբյուրի համայնքապետարան(ՏԻՄ),Երկարաձգված,2021-11-04,2026-11-04,Սևան,«Յոթ աղբյուր» կոչվող բնական աղբյուր,Ստորերկրյա,Գեղարքունիք գ. Լանջաղբյուր,Գեղարքունիք գ. Լանջաղբյուր,Խմելու-կենցաղային,239.0,Տվյալ չկա,22.976,45.0,5.0,47.8
45,«Ուոթերլոկ»(ՍՊԸ),Երկարաձգված,2021-11-04,2026-11-04,Հրազդան,«Սայրանգ» կոչվող բնական աղբյուր,Ստորերկրյա,Արագածոտն գ. Քուչակ,Երևան Աջափնյակ,Խմելու-կենցաղային / Արդյունաբերական,72.0,քաղաքային կոյուղու կոլեկտոր,37.26,2.4,5.0,14.4
46,«Տուֆ-Գրանիտ»(ՍՊԸ),Երկարաձգված,2021-11-16,2026-11-16,Սևան,1 գործող խորքային հոր.,Ստորերկրյա,Գեղարքունիք ք. Սևան,Գեղարքունիք ք. Սևան,Արդյունաբերական,2.174,Տվյալ չկա,22.976,45.0,5.0,0.43
47,Արագածոտնի մարզ Ապարան համայնքի Լուսագյուղ բնակավայր(ՏԻՄ),Վերանայված / Վերաձևակերպված,2021-11-18,2026-11-18,Հրազդան,«Թուրք սպանոցի ձորի» և «Չռիկ» կոչվող բնական աղբյուրներ,Ստորերկրյա,Արագածոտն Ապարան գ. Լուսագյուղ; Արագածոտն Ապարան գ. Լուսագյուղ,Արագածոտն Ապարան գ. Լուսագյուղ,Խմելու-կենցաղային,106.215,Տվյալ չկա,22.976,45.0,5.0,21.24
48,Արագածոտնի մարզ Ապարան համայնքի Ափնագյուղ բնակավայր(ՏԻՄ),Վերանայված / Վերաձևակերպված,2021-11-18,2026-11-18,Հրազդան,«Արայի» կոչվող բնական աղբյուրներ,Ստորերկրյա,Արագածոտն Ապարան գ. Արայի,Արագածոտն Ապարան գ. Ափնագյուղ,Խմելու-կենցաղային,70.737,Տվյալ չկա,22.976,45.0,5.0,14.15
49,Արագածոտնի մարզ Ապարան համայնքի Արայի բնակավայր(ՏԻՄ),Վերանայված / Վերաձևակերպված,2021-11-18,2026-11-18,Հրազդան,«Արայի» կոչվող բնական աղբյուրներ,Ստորերկրյա,Արագածոտն Ապարան գ. Արայի,Արագածոտն Ապարան գ. Արայի,Խմելու-կենցաղային,52.6,Տվյալ չկա,22.976,45.0,5.0,10.52
50,Արագածոտնի մարզ Ապարան համայնքի Եղիպատրուշ բնակավայր(ՏԻՄ),Վերանայված / Վերաձևակերպված,2021-11-18,2026-11-18,Հրազդան,«Մուխսի» կոչվող բնական աղբյուրներ,Ստորերկրյա,Արագածոտն Ապարան գ. Եղիպատրուշ; Արագածոտն Ապարան գ. Եղիպատրուշ,Արագածոտն Ապարան գ. Եղիպատրուշ,Խմելու-կենցաղային,84.534,Տվյալ չկա,22.976,45.0,5.0,16.91
51,Արագածոտնի մարզ Ապարան համայնքի Հարթավան բնակավայր(ՏԻՄ),Վերանայված / Վերաձևակերպված,2021-11-18,2026-11-18,Հրազդան,«Շաշլույի» և «Ամբարլույի» կոչվող բնական աղբյուրներ,Ստորերկրյա,Արագածոտն Ապարան գ. Հարթավան; Արագածոտն Ապարան գ. Հարթավան,Արագածոտն Ապարան գ. Հարթավան,Խմելու-կենցաղային,97.0,Տվյալ չկա,22.976,45.0,5.0,19.4
52,Արագածոտնի մարզ Ակունք համայնք(ՏԻՄ),Երկարաձգված,2021-12-09,2026-12-09,Ախուրյան,«ԱԿ» կոչվող բնական աղբյուր,Ստորերկրյա,Արագածոտն գ. Ակունք,Արագածոտն գ. Ակունք,Խմելու-կենցաղային,87.95,Տվյալ չկա,22.976,45.0,5.0,17.59
53,«Լիդիան Արմենիա»(ՓԲԸ) Ամուլսարի ոսկեբեր քվարցիտների հանքավայր,Նոր,2022-03-30,2026-05-18,Արարատյան,Արփա գետ,Մակերևութային,Վայոց ձոր,Վայոց ձոր,Արդյունաբերական,1284.5952,"""Ընկերությունն աշխատելու է փակ շրջանառու համակարգով",22.976,45.0,4.14,310.29
54,«Էլեկտրասարք»(ԲԲԸ),Երկարաձգված,2022-07-13,2027-07-13,Հրազդան,1 գործող խորքային հոր.,Ստորերկրյա,Երևան Շենգավիթ,Երևան Շենգավիթ,Արդյունաբերական,50.86,Քաղաքային կոյուղու կոլեկտոր,22.3,3.0,5.0,10.17
55,«Տիգրան Մեծ» Հրատարակչություն(ՓԲԸ),Երկարաձգված,2022-08-03,2027-08-03,Հրազդան,1 գործող խորքային հոր.,Ստորերկրյա,Երևան Կենտրոն,Երևան Կենտրոն,Արդյունաբերական,76.992,Քաղաքային կոյուղու կոլեկտոր,65.844,4.6,5.0,15.4
56,«Էֆֆեկտ գրուպ»(ՓԲԸ),Վերանայված / Վերաձևակերպված,2022-09-14,2027-09-14,Հրազդան,1 գործող խորքային հոր.,Ստորերկրյա,Երևան Էրեբունի,Երևան Էրեբունի,Արդյունաբերական,38.91,քաղաքային կոյուղու կոլեկտոր,20.765,2.83,5.0,7.78
57,«Էֆֆեկտ գրուպ»(ՓԲԸ),Վերանայված / Վերաձևակերպված,2022-09-14,2027-09-14,Հրազդան,1 գործող խորքային հոր.,Ստորերկրյա,Երևան Շենգավիթ,Երևան Շենգավիթ,Արդյունաբերական,27.9,Քաղաքային կոյուղու կոլեկտոր,5.36,0.62,5.0,5.58
58,ԿԱՊԱՆԻ «ՆՈՐՈԳՇԻՆ»(ՍՊԸ),Վերանայված / Վերաձևակերպված,2022-11-23,2025-11-23,Տվյալ չկա,Տվյալ չկա,Տվյալ չկա,Տվյալ չկա,Տվյալ չկա,Տվյալ չկա,25.92,Ջրանթափանց հոր՝ Ողջի գետ,0.83,0.12,3.0,8.64
59,Գեղարքունիքի մարզ Շողակաթ համայնքի Շողակաթ բնակավայր(ՏԻՄ),Նոր,2022-11-28,2025-11-28,Սևան,1 գործող խորքային հոր.,Ստորերկրյա,Գեղարքունիք Շողակաթ գ․Շողակաթ,Գեղարքունիք Շողակաթ գ․Շողակաթ,ոռոգում,121.819,Տվյալ չկա,22.976,45.0,3.0,40.61
60,Աշոտ Գրիգորյան(Ֆիզ․ ԱՆՁ),Նոր,2022-12-05,2025-12-05,Հրազդան,1 գործող խորքային հոր.,Ստորերկրյա,Արագածոտն Աշտարակ գ. Փարպի,Արագածոտն Աշտարակ գ. Փարպի,ոռոգում,8.736,Տվյալ չկա,22.976,45.0,3.0,2.91
61,Ջիվան Մարգարյան(Ֆիզ․ ԱՆՁ),Երկարաձգված,2022-12-14,2025-12-14,Հարավային,Սիսիան վտակ՝ Որոտան գետի,Մակերևութային,Սյունիք Սիսիան գ. Հացավան,Սյունիք Սիսիան գ. Հացավան,Ձկնաբուծական,536.778,Սիսիան վտակ՝ Որոտան գետի,509.941,16.0,3.0,178.93
62,«Կապույտ ավազ»(ՍՊԸ),Նոր,2022-12-09,2025-12-09,Ախուրյան,Գրունտային ջրեր,Ստորերկրյա,Արմավիր Մեծամոր գ. Արևիկ,Արմավիր Մեծամոր գ. Արևիկ,Արդյունաբերական,97.944,Ընկերւթյունն աշխատում է լրիվ շրջանառու համակարգով,22.976,45.0,3.0,32.65
63,«Վինեկա»(ՍՊԸ),Նոր,2022-12-12,2025-12-12,Ախուրյան,1 գործող խորքային հոր.,Ստորերկրյա,Արմավիր Մեծամոր գ. Մարգարա,Արմավիր Մեծամոր գ. Մարգարա,Արդյունաբերական,34.1,դրենաժային համակարգ՝ Արաքս գետ,33.7,4.18,3.0,11.37
64,Տավուշի մարզ Իջևան համայնքի Սարիգյուղ գյուղ(ՏԻՄ) Տավուշ մարզ,Նոր,2022-12-12,2025-12-12,Հյուսիսային,1 գործոզ խորքային հոր,Ստորերկրյա,Տավուշ Իջևան գ. Սարիգյուղ,Տավուշ Իջևան գ. Սարիգյուղ,Խմելու-կենցաղային,107.047,Տվյալ չկա,22.976,45.0,3.0,35.68
65,«Շաքարյան Ռանչո»(ՍՊԸ),Նոր,2022-12-13,2025-12-13,Հյուսիսային,անանուն բնական աղբյուր,Ստորերկրյա,Լոռի Թումանյան գ. Դսեղ,Լոռի Թումանյան գ. Դսեղ,Խմելու-կենցաղային,4.792,"""սեպտիկ հոր",22.976,2.967,3.0,1.6
66,«Արաքս թռչնաֆաբրիկա»(ՓԲԸ),Նոր,2022-12-14,2025-12-14,Ախուրյան,3 գործող խորքային հոր.,Ստորերկրյա,Արմավիր Արաքս գ. Ջրարբի; Արմավիր Արաքս գ. Ջրարբի,Արմավիր Արաքս գ. Ջրարբի,ոռոգում,181.962,Տվյալ չկա,22.976,45.0,3.0,60.65
67,«Մայլեռ Մաունթայն Ռեզորթ»(ՓԲԸ),Նոր,2022-12-12,2025-12-12,Հրազդան,Ապարանի ջրամբար,Ջրային Համակարգ,Արագածոտն Ապարան,Արագածոտն Ապարան,Արդյունաբերական /տեխնիկական/,203.75,Տվյալ չկա,22.976,45.0,3.0,67.92
68,«Հայաստանի կուրորտներ» սոցիալական-առողջապահական հիմնադրամ(ՀԻՄՆԱԴՐԱՄ),Երկարաձգված,2022-12-13,2025-12-13,Հրազդան,անանուն բնական աղբյուր,Ստորերկրյա,Կոտայք Արզնի գ. Արզնի,Կոտայք Արզնի գ. Արզնի,Խմելու-կենցաղային,16.141,ջրանթափանց հոր՝ կոյուղու կոլեկտոր,14.544,0.69,3.0,5.38
69,«Արագածոտն»(ՋՕԸ) Աշտարակ համայնքի Օշական գյուղ,Նոր,2022-12-13,2025-12-13,Հրազդան,1 խորքային հոր,Ստորերկրյա,Արագածոտն Աշտարակ գ. Օշական,Արագածոտն Աշտարակ գ. Օշական,ոռոգում,604.69,Տվյալ չկա,22.976,45.0,3.0,201.56
70,«Արագածոտն»(ՋՕԸ) Աշտարակ համայնքի Ոսկեհատ գյուղ,Նոր,2022-12-13,2025-12-13,Հրազդան,1 խորքային հոր.,Ստորերկրյա,Արագածոտն Աշտարակ գ. Ոսկեհատ,Արագածոտն Աշտարակ գ. Ոսկեհատ,ոռոգում,530.64,Տվյալ չկա,22.976,45.0,3.0,176.88
71,«Քրոսրոադս» միջազգային բարեգործական հիմնադրամ,Վերանայված / Վերաձևակերպված,2022-12-16,2025-12-16,Հրազդան,Մարմարիկ գետ,Մակերևութային,Կոտայք Ծաղկաձոր գ. Փյունիկ,Կոտայք Ծաղկաձոր գ. Փյունիկ,ոռոգում,16.2,Տվյալ չկա,22.976,45.0,3.0,5.4
